WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW,TIME,FILE,RECID
0,0,0,0,0,0,0,0,0,1,-9,10,0,237,3,50,22,3,1
1,0,0,1,0,1,0,1,0,1,0,10,1,232,10,52,16,1,1
0,0,0,1,0,0,0,1,0,1,1,12,0,355,2,50,0,3,0
0,0,0,0,0,1,0,1,0,0,0,13,0,270,4,47,38,3,1
1,0,1,1,0,1,0,1,0,1,0,10,2,251,23,46,0,2,0
1,0,1,0,0,1,0,1,0,1,0,11,0,273,2,57,0,2,0
1,0,0,1,0,1,0,1,0,1,0,9,0,265,31,55,0,3,0
1,0,1,1,0,0,0,0,0,1,1,9,13,246,36,46,5,2,1
1,0,0,1,1,1,0,0,1,1,2,10,2,339,26,55,48,3,1
0,0,1,0,0,0,1,0,0,1,1,11,4,296,53,52,0,1,0
1,1,0,1,0,0,0,0,0,1,0,12,0,377,4,57,0,2,0
0,0,0,1,0,0,0,1,0,0,0,9,0,225,7,47,0,2,0
1,0,0,1,0,0,0,0,0,1,0,10,0,305,5,56,0,2,0
1,1,0,1,1,0,1,0,0,1,13,10,0,456,7,56,34,1,1
1,1,1,0,0,1,0,0,0,0,0,9,0,223,7,47,0,2,0
0,0,0,1,0,1,0,1,0,0,-9,15,0,420,1,49,0,3,0
0,0,0,1,0,1,1,1,0,1,3,9,0,273,35,47,7,3,1
1,0,0,1,1,0,1,0,0,1,-9,0,0,581,2,52,0,3,0
0,1,0,1,0,0,0,1,0,1,1,12,3,251,18,52,0,2,0
0,1,0,0,0,0,1,0,0,1,0,10,0,301,14,52,11,2,1
