name,exp_score,mask_score,human_rating,attn_FP,attn_FN
2009_003904,0.5760000000000001,0.531,0.722,0.127,0.297
2010_000500,0.624,0.524,0.76,0.126,0.249
2010_000799,0.688,0.665,0.767,0.07,0.242
2010_003299,0.371,0.393,0.389,0.259,0.37
2010_004712,0.536,0.5429999999999999,0.744,0.226,0.238
2010_005344,0.478,0.44099999999999995,0.644,0.028,0.494
2010_005697,0.612,0.521,0.778,0.121,0.266
2011_001900,0.7090000000000001,0.6799999999999999,0.744,0.095,0.196
2007_001239,0.362,0.359,0.467,0.314,0.325
2007_001763,0.471,0.40800000000000003,0.522,0.146,0.383
2007_008260,0.51,0.516,0.578,0.24,0.25
2007_008415,0.125,0.121,0.333,0.439,0.436
2007_009331,0.375,0.359,0.522,0.264,0.361
2007_009562,0.247,0.21999999999999997,0.507,0.126,0.627
