name,human_rating,human-attention,segmentation-mask,attn_FP,attn_FN
cat-2008_000950.jpg,0.949,0.15,0.222,0.089,0.15
cat-2008_001980.jpg,0.627,0.26,0.399,0.245,0.26
cat-2008_002177.jpg,0.559,0.27,0.263,0.131,0.27
cat-2008_002225.jpg,0.068,0.507,0.293,0.243,0.507
cat-2008_002294.jpg,0.203,0.324,0.347,0.144,0.324
cat-2008_002299.jpg,0.814,0.182,0.297,0.112,0.182
cat-2008_002410.jpg,0.627,0.29,0.253,0.176,0.29
cat-2008_002583.jpg,0.593,0.528,0.573,0.009,0.528
cat-2008_002749.jpg,0.237,0.401,0.309,0.258,0.401
cat-2008_003386.jpg,0.847,0.285,0.251,0.059,0.285
cat-2008_003559.jpg,0.373,0.272,0.272,0.164,0.272
cat-2008_003841.jpg,0.559,0.246,0.209,0.095,0.246
cat-2008_004303.jpg,0.169,0.339,0.333,0.315,0.339
cat-2008_005300.jpg,0.356,0.271,0.26,0.251,0.271
cat-2008_005469.jpg,0.407,0.395,0.282,0.12,0.395
cat-2008_005496.jpg,0.39,0.333,0.368,0.164,0.333
cat-2008_005566.jpg,0.644,0.179,0.252,0.136,0.179
cat-2008_005600.jpg,0.661,0.22,0.367,0.193,0.22
cat-2008_005857.jpg,0.729,0.209,0.252,0.156,0.209
cat-2008_006081.jpg,0.339,0.377,0.352,0.172,0.377
cat-2008_006377.jpg,0.673,0.223,0.31,0.19,0.223
cat-2008_006609.jpg,0.688,0.291,0.373,0.114,0.291
cat-2008_007239.jpg,0.536,0.348,0.407,0.16,0.348
cat-2008_007403.jpg,0.078,0.396,0.374,0.18,0.396
cat-2008_007610.jpg,0.825,0.272,0.336,0.179,0.272
cat-2008_007683.jpg,0.444,0.304,0.298,0.295,0.304
cat-2009_000504.jpg,0.551,0.503,0.564,0.081,0.503
cat-2009_000684.jpg,0.658,0.482,0.521,0.025,0.482
cat-2009_000966.jpg,0.673,0.236,0.272,0.167,0.236
cat-2009_001391.jpg,0.703,0.409,0.478,0.082,0.409
cat-2009_002008.jpg,0.398,0.285,0.286,0.284,0.285
cat-2009_003904.jpg,0.612,0.285,0.329,0.138,0.285
cat-2009_004796.jpg,0.429,0.235,0.233,0.187,0.235
cat-2009_004999.jpg,0.215,0.372,0.386,0.208,0.372
cat-2010_000001.jpg,0.566,0.273,0.273,0.147,0.273
cat-2010_000009.jpg,0.505,0.307,0.352,0.066,0.307
cat-2010_000114.jpg,0.505,0.374,0.391,0.134,0.374
cat-2010_000157.jpg,0.383,0.564,0.579,0.006,0.564
cat-2010_000317.jpg,0.337,0.481,0.481,0.061,0.481
cat-2010_000500.jpg,0.658,0.192,0.307,0.138,0.192
cat-2010_000799.jpg,0.856,0.254,0.257,0.061,0.254
cat-2010_001344.jpg,0.719,0.208,0.189,0.158,0.208
cat-2010_001351.jpg,0.734,0.29,0.333,0.178,0.29
cat-2010_002086.jpg,0.246,0.425,0.361,0.088,0.425
cat-2010_002224.jpg,0.52,0.354,0.403,0.161,0.354
cat-2010_002778.jpg,0.551,0.249,0.244,0.232,0.249
cat-2010_003291.jpg,0.78,0.206,0.244,0.193,0.206
cat-2010_003299.jpg,0.047,0.411,0.343,0.247,0.411
cat-2010_004712.jpg,0.917,0.26,0.258,0.26,0.26
cat-2010_004815.jpg,0.719,0.229,0.268,0.075,0.229
cat-2010_005344.jpg,0.383,0.475,0.519,0.029,0.475
cat-2010_005697.jpg,0.673,0.196,0.323,0.104,0.196
cat-2011_001900.jpg,0.719,0.178,0.219,0.094,0.178
dog-2007_001239.jpg,0.444,0.322,0.328,0.32,0.322
dog-2007_001763.jpg,0.231,0.352,0.421,0.164,0.352
dog-2007_008260.jpg,0.597,0.259,0.258,0.258,0.259
dog-2007_008415.jpg,0.185,0.438,0.438,0.44,0.438
dog-2007_009331.jpg,0.459,0.348,0.365,0.311,0.348
dog-2007_009562.jpg,0.353,0.559,0.656,0.129,0.559
dog-2007_009889.jpg,0.459,0.321,0.319,0.324,0.321
dog-2008_002003.jpg,0.612,0.276,0.274,0.276,0.276
dog-2008_002536.jpg,0.047,0.433,0.431,0.434,0.433
dog-2008_002936.jpg,0.063,0.317,0.315,0.302,0.317
dog-2008_003101.jpg,0.841,0.293,0.29,0.291,0.293
dog-2008_003497.jpg,0.719,0.438,0.434,0.45,0.438
dog-2008_004265.jpg,0.093,0.497,0.472,0.033,0.497
dog-2008_004273.jpg,0.368,0.352,0.364,0.065,0.352
