HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.links,Answer.suggestion_texts,Answer.surveycode,Approve,Reject
307FVKVSYSQK67HCU87WMOFDZT474Z,3VU3J1KUFC965CFLW4IELPXQM43GTX,Review and Rate our Pet Recognition AI [use google chrome],In this HIT you are going to see how AI detects pets in images. Your task is to rate 15 images. [only use google chrome],"rating, AI, pets",$0.30 ,Mon May 04 01:04:50 PDT 2020,10,BatchId:4021434;OriginalHitTemplateId:920937340;,3600,172800,Mon May 11 01:04:50 PDT 2020,,,317HQ483I9353J57L6VQ167B1DMNI3,AB77P0ABU54TS,Submitted,Mon May 04 01:37:50 PDT 2020,Mon May 04 01:53:08 PDT 2020,Wed May 06 01:53:08 PDT 2020,,,,918,0% (0/0),0% (0/0),0% (0/0),http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,{},http://people.tamu.edu/~sina.mohseni/benchmark/expqlty.html,,
307FVKVSYSQK67HCU87WMOFDZT474Z,3VU3J1KUFC965CFLW4IELPXQM43GTX,Review and Rate our Pet Recognition AI [use google chrome],In this HIT you are going to see how AI detects pets in images. Your task is to rate 15 images. [only use google chrome],"rating, AI, pets",$0.30 ,Mon May 04 01:04:50 PDT 2020,10,BatchId:4021434;OriginalHitTemplateId:920937340;,3600,172800,Mon May 11 01:04:50 PDT 2020,,,369J354OFFLJ07TKW196EJ89RACG61,A2PGZ4K8RFSTTI,Submitted,Mon May 04 02:12:33 PDT 2020,Mon May 04 02:23:00 PDT 2020,Wed May 06 02:23:00 PDT 2020,,,,627,0% (0/0),0% (0/0),0% (0/0),http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,None,"[{""i"":""A2PGZ4K8RFSTTI"",""r"":""0"",""d"":0,""d1"":57,""d2"":129},{""i"":""cat-2007_000528.jpg"",""r"":""8""},{""i"":""cat-2007_000876.jpg"",""r"":""6""},{""i"":""cat-2007_003778.jpg"",""r"":""8""},{""i"":""cat-2008_000824.jpg"",""r"":""4""},{""i"":""cat-2008_000950.jpg"",""r"":""9""},{""i"":""cat-2008_001980.jpg"",""r"":""8""},{""i"":""cat-2008_002177.jpg"",""r"":""8""},{""i"":""cat-2008_002225.jpg"",""r"":""2""},{""i"":""cat-2008_002294.jpg"",""r"":""4""},{""i"":""cat-2008_002299.jpg"",""r"":""9""},{""i"":""cat-2008_002410.jpg"",""r"":""6""},{""i"":""cat-2008_002583.jpg"",""r"":""7""},{""i"":""cat-2008_002749.jpg"",""r"":""4""},{""i"":""cat-2008_003386.jpg"",""r"":""7""}]",,
307FVKVSYSQK67HCU87WMOFDZT474Z,3VU3J1KUFC965CFLW4IELPXQM43GTX,Review and Rate our Pet Recognition AI [use google chrome],In this HIT you are going to see how AI detects pets in images. Your task is to rate 15 images. [only use google chrome],"rating, AI, pets",$0.30 ,Mon May 04 01:04:50 PDT 2020,10,BatchId:4021434;OriginalHitTemplateId:920937340;,3600,172800,Mon May 11 01:04:50 PDT 2020,,,3A1PQ49WVJS2THNYA1F74NTTYZX1HB,A3774HPOUKYTX7,Submitted,Mon May 04 01:05:22 PDT 2020,Mon May 04 01:13:02 PDT 2020,Wed May 06 01:13:02 PDT 2020,,,,460,100% (1/1),0% (0/0),0% (0/0),http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,{},"[{""i"":""A3774HPOUKYTX7"",""r"":""0"",""d"":0,""d1"":19,""d2"":43},{""i"":""cat-2007_000528.jpg"",""r"":""9""},{""i"":""cat-2007_000876.jpg"",""r"":""3""},{""i"":""cat-2007_003778.jpg"",""r"":""8""},{""i"":""cat-2008_000824.jpg"",""r"":""6""},{""i"":""cat-2008_000950.jpg"",""r"":""9""},{""i"":""cat-2008_001980.jpg"",""r"":""8""},{""i"":""cat-2008_002177.jpg"",""r"":""5""},{""i"":""cat-2008_002225.jpg"",""r"":""7""},{""i"":""cat-2008_002294.jpg"",""r"":""4""},{""i"":""cat-2008_002299.jpg"",""r"":""8""},{""i"":""cat-2008_002410.jpg"",""r"":""7""},{""i"":""cat-2008_002583.jpg"",""r"":""9""},{""i"":""cat-2008_002749.jpg"",""r"":""6""},{""i"":""cat-2008_003386.jpg"",""r"":""8""}]",,
307FVKVSYSQK67HCU87WMOFDZT474Z,3VU3J1KUFC965CFLW4IELPXQM43GTX,Review and Rate our Pet Recognition AI [use google chrome],In this HIT you are going to see how AI detects pets in images. Your task is to rate 15 images. [only use google chrome],"rating, AI, pets",$0.30 ,Mon May 04 01:04:50 PDT 2020,10,BatchId:4021434;OriginalHitTemplateId:920937340;,3600,172800,Mon May 11 01:04:50 PDT 2020,,,3F0BG9B9MRY2QYSP9H04RXF9RHLY7F,A3DTPGXKABAFEJ,Submitted,Mon May 04 02:10:19 PDT 2020,Mon May 04 02:48:04 PDT 2020,Wed May 06 02:48:04 PDT 2020,,,,2265,100% (1/1),100% (1/1),0% (0/0),http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,{},"[{""i"":""A3DTPGXKABAFEJ"",""r"":""0"",""d"":0,""d1"":9,""d2"":58},{""i"":""cat-2007_000528.jpg"",""r"":""10""},{""i"":""cat-2007_000876.jpg"",""r"":""2""},{""i"":""cat-2007_003778.jpg"",""r"":""10""},{""i"":""cat-2008_000824.jpg"",""r"":""3""},{""i"":""cat-2008_000950.jpg"",""r"":""10""},{""i"":""cat-2008_001980.jpg"",""r"":""8""},{""i"":""cat-2008_002177.jpg"",""r"":""8""},{""i"":""cat-2008_002225.jpg"",""r"":""1""},{""i"":""cat-2008_002294.jpg"",""r"":""6""},{""i"":""cat-2008_002299.jpg"",""r"":""9""},{""i"":""cat-2008_002410.jpg"",""r"":""9""},{""i"":""cat-2008_002583.jpg"",""r"":""10""},{""i"":""cat-2008_002749.jpg"",""r"":""8""},{""i"":""cat-2008_003386.jpg"",""r"":""9""}]",,
307FVKVSYSQK67HCU87WMOFDZT474Z,3VU3J1KUFC965CFLW4IELPXQM43GTX,Review and Rate our Pet Recognition AI [use google chrome],In this HIT you are going to see how AI detects pets in images. Your task is to rate 15 images. [only use google chrome],"rating, AI, pets",$0.30 ,Mon May 04 01:04:50 PDT 2020,10,BatchId:4021434;OriginalHitTemplateId:920937340;,3600,172800,Mon May 11 01:04:50 PDT 2020,,,3FTYUGLFSWWK5JJFPSYTGSRCINL5D0,AXAXLC0TXQ0QW,Submitted,Mon May 04 02:10:23 PDT 2020,Mon May 04 02:13:01 PDT 2020,Wed May 06 02:13:01 PDT 2020,,,,158,0% (0/0),0% (0/0),0% (0/0),http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,{},"[{""i"":""AXAXLC0TXQ0QW"",""r"":""0"",""d"":0,""d1"":13,""d2"":95},{""i"":""cat-2007_000528.jpg"",""r"":""7""},{""i"":""cat-2007_000876.jpg"",""r"":""3""},{""i"":""cat-2007_003778.jpg"",""r"":""3""},{""i"":""cat-2008_000824.jpg"",""r"":""2""},{""i"":""cat-2008_000950.jpg"",""r"":""8""},{""i"":""cat-2008_001980.jpg"",""r"":""4""},{""i"":""cat-2008_002177.jpg"",""r"":""6""},{""i"":""cat-2008_002225.jpg"",""r"":""5""},{""i"":""cat-2008_002294.jpg"",""r"":""6""},{""i"":""cat-2008_002299.jpg"",""r"":""5""},{""i"":""cat-2008_002410.jpg"",""r"":""5""},{""i"":""cat-2008_002583.jpg"",""r"":""3""},{""i"":""cat-2008_002749.jpg"",""r"":""2""},{""i"":""cat-2008_003386.jpg"",""r"":""8""}]",,
307FVKVSYSQK67HCU87WMOFDZT474Z,3VU3J1KUFC965CFLW4IELPXQM43GTX,Review and Rate our Pet Recognition AI [use google chrome],In this HIT you are going to see how AI detects pets in images. Your task is to rate 15 images. [only use google chrome],"rating, AI, pets",$0.30 ,Mon May 04 01:04:50 PDT 2020,10,BatchId:4021434;OriginalHitTemplateId:920937340;,3600,172800,Mon May 11 01:04:50 PDT 2020,,,3M23Y66PO4IMQC2BR13N3XRCFLU6SZ,A304PUXIRA930J,Submitted,Mon May 04 01:05:08 PDT 2020,Mon May 04 01:27:12 PDT 2020,Wed May 06 01:27:12 PDT 2020,,,,1324,100% (1/1),100% (1/1),0% (0/0),http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,{},"[{""i"":""A304PUXIRA930J"",""r"":""0"",""d"":0,""d1"":11,""d2"":61},{""i"":""cat-2007_000528.jpg"",""r"":""8""},{""i"":""cat-2007_000876.jpg"",""r"":""6""},{""i"":""cat-2007_003778.jpg"",""r"":""10""},{""i"":""cat-2008_000824.jpg"",""r"":""1""},{""i"":""cat-2008_000950.jpg"",""r"":""9""},{""i"":""cat-2008_001980.jpg"",""r"":""9""},{""i"":""cat-2008_002177.jpg"",""r"":""7""},{""i"":""cat-2008_002225.jpg"",""r"":""1""},{""i"":""cat-2008_002294.jpg"",""r"":""2""},{""i"":""cat-2008_002299.jpg"",""r"":""8""},{""i"":""cat-2008_002410.jpg"",""r"":""6""},{""i"":""cat-2008_002583.jpg"",""r"":""6""},{""i"":""cat-2008_002749.jpg"",""r"":""2""},{""i"":""cat-2008_003386.jpg"",""r"":""9""}]",,
307FVKVSYSQK67HCU87WMOFDZT474Z,3VU3J1KUFC965CFLW4IELPXQM43GTX,Review and Rate our Pet Recognition AI [use google chrome],In this HIT you are going to see how AI detects pets in images. Your task is to rate 15 images. [only use google chrome],"rating, AI, pets",$0.30 ,Mon May 04 01:04:50 PDT 2020,10,BatchId:4021434;OriginalHitTemplateId:920937340;,3600,172800,Mon May 11 01:04:50 PDT 2020,,,3M81GAB8A2UGJ84TVOVQJDY3BYMQBH,A10I3H318B4EY1,Submitted,Mon May 04 01:21:23 PDT 2020,Mon May 04 01:28:48 PDT 2020,Wed May 06 01:28:48 PDT 2020,,,,445,0% (0/0),0% (0/0),0% (0/0),http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,{},"[{""i"":""A10I3H318B4EY1"",""r"":""0"",""d"":0,""d1"":54,""d2"":158},{""i"":""cat-2007_000528.jpg"",""r"":""9""},{""i"":""cat-2007_000876.jpg"",""r"":""4""},{""i"":""cat-2007_003778.jpg"",""r"":""5""},{""i"":""cat-2008_000824.jpg"",""r"":""3""},{""i"":""cat-2008_000950.jpg"",""r"":""9""},{""i"":""cat-2008_001980.jpg"",""r"":""5""},{""i"":""cat-2008_002177.jpg"",""r"":""4""},{""i"":""cat-2008_002225.jpg"",""r"":""2""},{""i"":""cat-2008_002294.jpg"",""r"":""4""},{""i"":""cat-2008_002299.jpg"",""r"":""8""},{""i"":""cat-2008_002410.jpg"",""r"":""7""},{""i"":""cat-2008_002583.jpg"",""r"":""6""},{""i"":""cat-2008_002749.jpg"",""r"":""2""},{""i"":""cat-2008_003386.jpg"",""r"":""9""}]",,
307FVKVSYSQK67HCU87WMOFDZT474Z,3VU3J1KUFC965CFLW4IELPXQM43GTX,Review and Rate our Pet Recognition AI [use google chrome],In this HIT you are going to see how AI detects pets in images. Your task is to rate 15 images. [only use google chrome],"rating, AI, pets",$0.30 ,Mon May 04 01:04:50 PDT 2020,10,BatchId:4021434;OriginalHitTemplateId:920937340;,3600,172800,Mon May 11 01:04:50 PDT 2020,,,3NG53N1RLXUCHY57SZWRS6ISYX2P8F,A2EARNRMFJOSIY,Submitted,Mon May 04 03:13:31 PDT 2020,Mon May 04 03:47:35 PDT 2020,Wed May 06 03:47:35 PDT 2020,,,,2044,0% (0/0),0% (0/0),0% (0/0),http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,{},"[{""i"":""A2EARNRMFJOSIY"",""r"":""0"",""d"":0,""d1"":83,""d2"":760},{""i"":""cat-2007_000528.jpg"",""r"":""9""},{""i"":""cat-2007_000876.jpg"",""r"":""5""},{""i"":""cat-2007_003778.jpg"",""r"":""10""},{""i"":""cat-2008_000824.jpg"",""r"":""4""},{""i"":""cat-2008_000950.jpg"",""r"":""10""},{""i"":""cat-2008_001980.jpg"",""r"":""10""},{""i"":""cat-2008_002177.jpg"",""r"":""8""},{""i"":""cat-2008_002225.jpg"",""r"":""7""},{""i"":""cat-2008_002294.jpg"",""r"":""4""},{""i"":""cat-2008_002299.jpg"",""r"":""9""},{""i"":""cat-2008_002410.jpg"",""r"":""9""},{""i"":""cat-2008_002583.jpg"",""r"":""9""},{""i"":""cat-2008_002749.jpg"",""r"":""5""},{""i"":""cat-2008_003386.jpg"",""r"":""9""}]",,
307FVKVSYSQK67HCU87WMOFDZT474Z,3VU3J1KUFC965CFLW4IELPXQM43GTX,Review and Rate our Pet Recognition AI [use google chrome],In this HIT you are going to see how AI detects pets in images. Your task is to rate 15 images. [only use google chrome],"rating, AI, pets",$0.30 ,Mon May 04 01:04:50 PDT 2020,10,BatchId:4021434;OriginalHitTemplateId:920937340;,3600,172800,Mon May 11 01:04:50 PDT 2020,,,3UJ1CZ6IZJ0Q782XMITIBRDCJQJ5SI,A3F9N2P4NUUR7S,Submitted,Mon May 04 01:07:56 PDT 2020,Mon May 04 01:48:24 PDT 2020,Wed May 06 01:48:24 PDT 2020,,,,2428,0% (0/0),0% (0/0),0% (0/0),http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,{},"[{""i"":""A3F9N2P4NUUR7S"",""r"":""0"",""d"":0,""d1"":54,""d2"":223},{""i"":""cat-2007_000528.jpg"",""r"":""7""},{""i"":""cat-2007_000876.jpg"",""r"":""3""},{""i"":""cat-2007_003778.jpg"",""r"":""4""},{""i"":""cat-2008_000824.jpg"",""r"":""3""},{""i"":""cat-2008_000950.jpg"",""r"":""9""},{""i"":""cat-2008_001980.jpg"",""r"":""5""},{""i"":""cat-2008_002177.jpg"",""r"":""6""},{""i"":""cat-2008_002225.jpg"",""r"":""1""},{""i"":""cat-2008_002294.jpg"",""r"":""3""},{""i"":""cat-2008_002299.jpg"",""r"":""9""},{""i"":""cat-2008_002410.jpg"",""r"":""6""},{""i"":""cat-2008_002583.jpg"",""r"":""4""},{""i"":""cat-2008_002749.jpg"",""r"":""5""},{""i"":""cat-2008_003386.jpg"",""r"":""8""}]",,
307FVKVSYSQK67HCU87WMOFDZT474Z,3VU3J1KUFC965CFLW4IELPXQM43GTX,Review and Rate our Pet Recognition AI [use google chrome],In this HIT you are going to see how AI detects pets in images. Your task is to rate 15 images. [only use google chrome],"rating, AI, pets",$0.30 ,Mon May 04 01:04:50 PDT 2020,10,BatchId:4021434;OriginalHitTemplateId:920937340;,3600,172800,Mon May 11 01:04:50 PDT 2020,,,3X4JMASXCOKSVFZUEQ1B477LYU10B6,A1BWS5AD2T4NIR,Submitted,Mon May 04 02:26:20 PDT 2020,Mon May 04 03:05:28 PDT 2020,Wed May 06 03:05:28 PDT 2020,,,,2348,0% (0/0),0% (0/0),0% (0/0),http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=0,None,"[{""i"":""A1BWS5AD2T4NIR"",""r"":""0"",""d"":0,""d1"":61,""d2"":228},{""i"":""cat-2007_000528.jpg"",""r"":""9""},{""i"":""cat-2007_000876.jpg"",""r"":""6""},{""i"":""cat-2007_003778.jpg"",""r"":""6""},{""i"":""cat-2008_000824.jpg"",""r"":""5""},{""i"":""cat-2008_000950.jpg"",""r"":""9""},{""i"":""cat-2008_001980.jpg"",""r"":""6""},{""i"":""cat-2008_002177.jpg"",""r"":""7""},{""i"":""cat-2008_002225.jpg"",""r"":""4""},{""i"":""cat-2008_002294.jpg"",""r"":""5""},{""i"":""cat-2008_002299.jpg"",""r"":""9""},{""i"":""cat-2008_002410.jpg"",""r"":""8""},{""i"":""cat-2008_002583.jpg"",""r"":""7""},{""i"":""cat-2008_002749.jpg"",""r"":""6""},{""i"":""cat-2008_003386.jpg"",""r"":""9""}]",,
